exercise_name,primary muscle group,secondary muscle group,tertiary muscle group,force,equipment,mechanic,difficulty,advanced_isolated_muscles
Barbell Curl,Biceps,,,Pull,Barbell,Isolation,Intermediate,
Dumbbell Curl,Biceps,,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Hammer Curl,Biceps,,,Pull,Dumbbells,Isolation,Novice,
Barbell Bench Press,Chest,Triceps; Lateral Head Triceps; Medial Head Triceps,Shoulders,Push,Barbell,Compound,Intermediate,Chest; Lateral Head Triceps; Medial Head Triceps
Box Dips,Chest,Triceps,Shoulders,Push,Bodyweight,Compound,Intermediate,Chest
Dumbbell Incline Chest Flys,Chest,,,Push,Dumbbells,Isolation,Beginner,Chest
Barbell Squat,Quads,Glutes,Lower back; Groin,Push,Barbell,Compound,Intermediate,
Machine Leg Press,Glutes; Quads,,,Push,Machine,Compound,Novice,
Machine Leg Extension,Quads,,,Push,Machine,Isolation,Novice,
Dumbbell Goblet Squat,Glutes; Quads,,Groin,Push,Dumbbells,Compound,Novice,
Dumbbell Seated Shrug,Traps,,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Seated Overhead Tricep Extension,Triceps; Long Head Tricep,,,Push,Dumbbells,Isolation,Intermediate,Long Head Tricep
Machine Cable V Bar Push Downs,Triceps,,,,Machine,,Beginner,
Bench Dips,Triceps,,,Push,Bodyweight,Compound,Novice,
Dumbbell Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Pull,Dumbbells,Isolation,Novice,Lateral Deltoid
Dumbbell Rear Delt Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,,Dumbbells,,Beginner,Posterior Deltoid
Cable Rope Face Pulls,Shoulders; Posterior Deltoid; Rear Shoulders,,,Pull,Cables,Isolation,Novice,Posterior Deltoid
Machine Pulldown,Lats,Biceps,Lower Traps,Pull,Machine,Compound,Novice,Lower Traps
Machine Seated Cable Row,Lats,Biceps,Traps (mid-back),Pull,Machine,Compound,Novice,Traps (mid-back)
