exercise_name,action,excel_original_name,exercise_name_diff,force_diff,equipment_diff,mechanic_diff,difficulty_diff,advanced_isolated_muscles_diff
Barbell Curl,update,Barbell Curl,,pull -> Pull,barbell -> Barbell,isolation -> Isolation,intermediate -> Intermediate,
Dumbbell Curl,update,Dumbbell Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Dumbbell Hammer Curl,update,Dumbbell Hammer Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Barbell Bench Press,update,Barbell Bench Press,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,pectoralis major sternal head -> Chest; Lateral Head Triceps; Medial Head Triceps
Box Dips,update,Box Dips,,push -> Push,box -> Bodyweight,compound -> Compound,intermediate -> Intermediate,pectoralis major sternal head -> Chest
Dumbbell Incline Chest Flys,update,Dumbbell Incline Chest Flys,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,pectoralis major clavicular -> Chest
Barbell Squat,insert,Barbell Squat,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Machine Leg Press,update,Machine Leg Press,,push -> Push,machine -> Machine,compound -> Compound,novice -> Beginner,
Machine Leg Extension,update,Machine Leg Extension,,push -> Push,machine -> Machine,isolation -> Isolation,novice -> Beginner,
Dumbbell Goblet Squat,update,Dumbbell Goblet Squat,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,
Dumbbell Seated Shrug,update,Dumbbell Seated Shrug,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Dumbbell Seated Overhead Tricep Extension,update,Dumbbell Seated Overhead Tricep Extension,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,triceps brachii -> Long Head Tricep
Machine Cable V Bar Push Downs,update,Machine Cable V Bar Push Downs,,,cable -> Machine,,beginner -> Beginner,
Bench Dips,insert,Bench Dips,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Dumbbell Lateral Raise,update,Dumbbell Lateral Raise,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,lateral deltoid -> Lateral Deltoid
Dumbbell Rear Delt Fly,update,Dumbbell Rear Delt Fly,,,dumbbell -> Dumbbells,,beginner -> Beginner,posterior deltoid -> Posterior Deltoid
Cable Rope Face Pulls,update,Cable Rope Face Pulls,,pull -> Pull,cable -> Cables,isolation -> Isolation,novice -> Beginner,posterior deltoid -> Posterior Deltoid
Machine Pulldown,update,Machine Pulldown,,pull -> Pull,machine -> Machine,compound -> Compound,novice -> Beginner,latissimus-dorsi -> Lower Traps
Machine Seated Cable Row,insert,Machine Seated Cable Row,,None -> Pull,None -> Machine,None -> Compound,None -> Beginner,None -> Traps (mid-back)
Pull Ups,update,Pull Ups,,pull -> Pull,machine -> Bodyweight,compound -> Compound,intermediate -> Intermediate,latissimus dorsi -> Traps (mid-back)
Dumbbell Row Bilateral,update,Dumbbell Row Bilateral,,,dumbbell -> Dumbbells,,beginner -> Beginner,latissimus-dorsi -> Traps (mid-back)
Barbell Stiff Leg Deadlifts,update,Barbell Stiff Leg Deadlifts,,pull -> Pull,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,erector spinae -> Gluteus Maximus; Lateral Hamstrings
Machine Hamstring Curl,update,Machine Hamstring Curl,,pull -> Pull,machine -> Machine,isolation -> Isolation,novice -> Beginner,
Glute Bridge,insert,Glute Bridge,,,None -> Bodyweight,,None -> Beginner,
Barbell Hip Thrust,update,Barbell Hip Thrust,,push -> Push,barbell -> Barbell,isolation -> Compound,advanced -> Beginner,
Barbell Behind The Back Wrist Curl,update,Barbell Behind The Back Wrist Curl,,,barbell -> Barbell,,intermediate -> Intermediate,
Dumbbell Wrist Curl,update,Dumbbell Wrist Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,
Machine Standing Calf Raises,update,Machine Standing Calf Raises,,push -> Push,machine -> Machine,isolation -> Isolation,novice -> Beginner,
Machine Seated Calf Raises,update,Machine Seated Calf Raises,,push -> Push,machine -> Machine,isolation -> Isolation,novice -> Beginner,
Crunches,update,Crunches,,push -> Push,bodyweight -> Bodyweight,isolation -> Isolation,novice -> Beginner,
Laying Leg Raises,update,Laying Leg Raises,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,novice -> Beginner,
Barbell Deadlift,update,Barbell Deadlift,,pull -> Pull,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,gluteus maximus -> Traps (mid-back)
Machine 45 Degree Back Extension,insert,Machine 45 Degree Back Extension,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Bulgarian Split Squat,insert,Bulgarian Split Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Smith Machine Standing Shrugs,update,Smith Machine Standing Shrugs,,push -> Pull,smith-machine -> Smith_Machine,isolation -> Isolation,beginner -> Beginner,
Barbell Laying Triceps Extensions,update,Barbell Laying Triceps Extensions,,,barbell -> Barbell,,intermediate -> Intermediate,
Dumbbell Seated Overhead Press,update,Dumbbell Seated Overhead Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,novice -> Beginner,anterior deltoid -> Anterior Deltoid; Lateral Deltoid
